hub_name,beat_index,daily_beat,shipments,old_dailybeat,flag
SATELLITEHUB_CHP,1.3,0.66,152.7,1,0
SATELLITEHUB_BKK2,1.6,0,108.6,1,0
SATELLITEHUB_BRL,1.4,0.6,208.4,1,0
SATELLITEHUB_AYA,1.1,0.78,122.3,1,0
SATELLITEHUB_NGL,1.6,0.71,232.8,1,0
SATELLITEHUB_SNGV,1.2,0.77,81.8,1,0
SATELLITEHUB_OKH,1.1,0.85,158.2,1,0
SATELLITEHUB_MYV,1.5,0.5,145.5,1,0
SATELLITEHUB_DHL1,1.3,0.91,194.7,1,0
SATELLITEHUB_FRD,1.7,0.67,101.1,1,0
SATELLITEHUB_FRD1,1.7,0.85,83.9,1,0
SATELLITEHUB_PWL,2,0.42,86.6,0.85,0
SATELLITEHUB_GGN,1.2,0.98,283.6,1,0
SATELLITEHUB_GRGM,1.5,0.56,195.8,1,0
SATELLITEHUB_BLP1,1.4,0.84,117.6,1,0
SATELLITEHUB_RWR1,2.6,0.31,109.5,0.75,0
SATELLITEHUB_RTK,2.2,0.61,109.4,0.71,0
SATELLITEHUB_RTK1,5,0,20.8,0.69,0
SATELLITEHUB_FTH,3.7,0,103.8,0.41,0
SATELLITEHUB_KNL1,2.2,0,62.5,1,0
SATELLITEHUB_SNP2,1.7,0,104.3,1,0
SATELLITEHUB_KRNL,1.8,0.38,73.3,1,0
SATELLITEHUB_IXC1,1.1,0.48,62.5,1,0
SATELLITEHUB_IXC2,1.5,0.65,162.3,1,0
SATELLITEHUB_UNAA,2.9,0,23.9,0,0
SATELLITEHUB_LUD1,1.6,0.52,164.1,0.93,0
SATELLITEHUB_TRN,3.7,0,19.2,0,0
SATELLITEHUB_ASR,1.3,0.88,75.1,0.95,0
SATELLITEHUB_PTN2,2.6,0,79.7,1,0
SATELLITEHUB_BTT,4.5,0,109.9,0.88,0
SATELLITEHUB_SHI,1.4,0.64,46.1,0,1
SATELLITEHUB_HMR,1.7,0,41.8,0,0
SATELLITEHUB_MND,2.2,0,32.3,0,0
SATELLITEHUB_PLM,1.2,0,29.3,0,0
SATELLITEHUB_KGR,3.2,0,33.3,0,0
SATELLITEHUB_JMU1,1.4,0,74.3,1,0
SATELLITEHUB_GBD,1.4,0.64,138.4,0.85,0
SATELLITEHUB_SBD,1.3,0.94,104.9,1,0
SATELLITEHUB_GZBD,1.1,0.95,176.5,1,0
SATELLITEHUB_GRT2,1.8,0.39,74.1,1,0
SATELLITEHUB_GBDN,1.1,0.83,218.7,1,0
SATELLITEHUB_GRTN,1.2,0.87,110.3,1,0
SATELLITEHUB_NODA,1.5,0.89,113.8,1,0
SATELLITEHUB_KSJ,3.7,0,56.8,0,0
SATELLITEHUB_AGR1,1.6,0.76,162.6,0.89,0
SATELLITEHUB_MNP,2.4,0,103.5,0.44,0
SATELLITEHUB_FRZ,2.7,0,38.4,0,0
SATELLITEHUB_ARY,2.7,0,106.7,0,0
SATELLITEHUB_FBD,4.3,0,40.6,0,0
SATELLITEHUB_KNP,1.5,0.64,210,0.82,0
SATELLITEHUB_KNJ,2.6,0,54,0,0
SATELLITEHUB_LKO,1.5,0.67,208.2,0.93,0
SATELLITEHUB_BAN,3.2,0,65.7,0,0
SATELLITEHUB_ALD,1.6,0.59,204.1,0.82,0
SATELLITEHUB_MRZ,2.3,0.34,90.7,0.36,0
SATELLITEHUB_VNS1,1.5,0.51,140.8,0.73,0
SATELLITEHUB_GZP2,1.9,0.37,95.2,0.23,1
SATELLITEHUB_MAU2,1.8,0.43,77.9,0,1
SATELLITEHUB_BAL2,1.9,0.25,128.7,0.25,0
SATELLITEHUB_JNP2,2.2,0,129.1,0.26,0
SATELLITEHUB_SLN,2.2,0.41,76.1,0,1
SATELLITEHUB_AZM2,2.2,0,140.2,0.19,0
SATELLITEHUB_FZB2,2.3,0.37,106.8,0.41,0
SATELLITEHUB_BBK,3.9,0,70.7,0.73,0
SATELLITEHUB_LKO1,1.1,0.72,87.8,1,0
SATELLITEHUB_LKOC,1.4,0.64,173.2,0.97,0
SATELLITEHUB_LKOS,1.5,0.71,135.2,0.97,0
SATELLITEHUB_SON,2.9,0,72.5,0,0
SATELLITEHUB_SJP2,2.6,0.21,130.2,0.29,0
SATELLITEHUB_BRY,1.5,0.55,110.7,0.72,0
SATELLITEHUB_MRD,1.6,0.32,107.7,0.52,0
SATELLITEHUB_HLW1,1.9,0.24,126.4,0.94,0
SATELLITEHUB_SHN2,2.3,0.53,61.5,0.53,0
SATELLITEHUB_MRT,2.8,0.42,72.5,0.72,0
SATELLITEHUB_STP,6.6,0,37.4,0,0
SATELLITEHUB_GON,3.4,0,40.9,0.35,0
SATELLITEHUB_BRH,3.8,0,46.4,0,0
SATELLITEHUB_GKP,2.1,0.67,151.1,0.41,1
SATELLITEHUB_MHJ,2.2,0,81.1,0,0
SATELLITEHUB_KSH,2.7,0,63.4,0,0
SATELLITEHUB_DEO2,2,0.26,139.6,0.62,0
SATELLITEHUB_MTH,2.2,0.69,95.9,0.52,1
SATELLITEHUB_BRP,3.8,0,56.1,0,0
SATELLITEHUB_JHS,4,0,104.5,0,0
SATELLITEHUB_AWR,2.3,0.31,89.5,0.26,1
SATELLITEHUB_JAI,1.6,0.63,247.9,0.88,0
SATELLITEHUB_JAI1,1.5,0.7,138,0.78,0
SATELLITEHUB_GPC1,3.7,0,28.6,0,0
SATELLITEHUB_BHL,4.8,0,36.2,0,0
SATELLITEHUB_JODH,2.5,0.35,96.2,0.81,0
SATELLITEHUB_KOTA,2.4,0,102,0.73,0
SATELLITEHUB_SRD,6.1,0,28.6,0,0
SATELLITEHUB_SIK,5,0,84.1,0.31,0
SATELLITEHUB_BIK,4.4,0,47.6,0.82,0
SATELLITEHUB_SGN1,4.7,0,52.9,0,0
SatelliteHub_POR,7.6,0,32,0,0
Satellitehub_JMN,3.2,0,65.1,0.58,0
SatelliteHub_UNA,2.2,0,46.9,0,0
SatelliteHub_SNG,8,0,4.4,0,0
Satellitehub_AMD,1.1,0.83,150.3,0.94,0
SatelliteHub_BHJ,6.5,0,37.7,0.53,0
SatelliteHub_FKGDM,2.8,0.39,86.8,0.86,0
Satellitehub_CKD,1.1,0.83,144.5,1,0
Satellitehub_AMD1,1.1,0.69,85.9,0.91,0
Satellitehub_AMDDC,1.9,0.48,72.6,0.91,0
Satellitehub_HMT,5.3,0,26.4,0,0
Satellitehub_PLN,7.4,0,28.5,0,0
Satellitehub_GDH,5.5,0,19,0,0
Satellitehub_JMB,3.4,0,20.6,0,0
SatelliteHub_FKBHR,1.3,0.88,82.7,0.72,1
Satellitehub_STV5,1.2,0.74,83.2,0.67,1
SatelliteHub_STV1,1.1,0.82,108.2,1,0
SatelliteHub_VAL,1.1,0.7,93.5,0.37,1
SatelliteHub_VPI,1.5,0,69.2,0,0
Satellitehub_RRD,1,1,58.1,1,0
Satellitehub_CHV,1.3,0.55,234,1,0
SatelliteHub_MRL,1.2,0.46,142.6,1,0
SatelliteHub_ADH,1.1,0.81,118.2,1,0
SatelliteHub_Gor2,1.1,0.75,197.4,1,0
Satellitehub_MIB,1.2,0.71,159.4,1,0
SatelliteHub_THN,1.3,0.43,238.9,1,0
Satellitehub_FKBPR,1.1,0.71,84.4,1,0
Satellitehub_PNV,1.1,0.88,199.6,1,0
SatelliteHub_BSR,1.2,0.61,55.7,0.95,0
SatelliteHub_VRR,1.3,0.7,189.6,1,0
Satellitehub_MDG,23.3,0,1.5,0,0
Satellitehub_MPU,1.2,0.39,160.5,0,1
Satellitehub_FKMDG,1.1,0.4,95.4,0,1
SatelliteHub_PUN,1.1,0.91,209.9,1,0
Satellitehub_HJD,1.1,0.75,192.7,0.82,0
SatelliteHub_WGL,1.2,0.91,126.5,0.89,1
SatelliteHub_URL,1.4,0.6,168.1,0.95,0
SatelliteHub_THW,1,1,75.2,1,0
SatelliteHub_AHR,4.1,0.66,51.3,0,1
Satellitehub_BAR,15.6,0,44.8,0,0
SatelliteHub_FKSOL,3.3,0,52.4,0,0
Satellitehub_BID,12.8,0,30.1,0,0
SatelliteHub_DHR,6.1,0,17.2,0,0
Satellitehub_CSN,1.7,0.47,135.5,0.75,0
Satellitehub_CPL,3,0,11.8,0,0
Satellitehub_AMB,1.1,0.72,90.3,1,0
Satellitehub_FBHI,1.6,0.59,109.8,0.52,1
Satellitehub_FKKDM,1.7,0.69,105,1,0
Satellitehub_KDM,1,1,70.5,1,0
Satellitehub_NSK,1.7,0.46,83,0.91,0
Satellitehub_SHRD,5,0,27.9,0,0
SATELLITEHUB_DHU,3.1,0,80.4,0.25,0
SatelliteHub_JLGN,2.5,0.45,67.4,0.64,0
SatelliteHub_NDR,9.7,0,14.4,0,0
Satellitehub_JLN,1.2,0,30.3,0,0
SatelliteHub_PRB,2.2,0,30.9,0,0
SatelliteHub_NAN,1.4,0.6,45.5,0,1
Satellitehub_NAG,1.2,0.56,172.2,0.97,0
Satellitehub_BND,4.7,0,29.4,0,0
SatelliteHub_CDR,3.1,0.5,68.1,0,1
Satellitehub_GND,5.1,0,20.6,0,0
Satellitehub_WRD,9.2,0,7.6,0,0
Satellitehub_BLD,8.7,0,20.2,0,0
SATELLITEHUB_FKAKL,5.1,0.5,60.3,0.46,1
SATELLITEHUB_AMT,3.1,0.49,66.8,0,1
Satellitehub_YTL,3.4,0,20.5,0,0
Satellitehub_KNW,3.9,0,26.4,0,0
SatelliteHub_SEN,7.7,0,18.1,0,0
SATELLITEHUB_IDR,1.6,0.48,124.9,0.36,1
SATELLITEHUB_IDRF,2.1,0.53,66.1,0.04,1
Satellitehub_UJJ,8.3,0,12.7,0.72,0
SatelliteHub_BTL,10.4,0,26.9,0,0
Satellitehub_HAR,5.3,0,13.1,0,0
SatelliteHub_BHO,1.2,0.76,167.3,0.9,0
Satellitehub_GNJB,4.6,0,30.8,0,0
Satellitehub_SJP,4.6,0,38.6,0,0
SATELLITEHUB_SGO,4.1,0,50.4,0,0
SatelliteHub_GNA,4.1,0,43.2,0,0
SatelliteHub_GWL,2.2,0.29,92.4,0.75,0
SatelliteHub_FKGWL,1.7,0,83.6,0.53,0
Satellitehub_SEO,2.6,0,39.8,0,0
SatelliteHub_SASR,3,0,11.8,0,0
Satellitehub_BLB,2.1,0,16.9,0,0
Satellitehub_JLR,1.7,0.54,120.7,0.81,0
SatelliteHub_KTN,2.5,0,28.1,0,0
Satellitehub_SHDL,2.6,0,27.1,0,0
Satellitehub_REV,1.7,0.55,63.4,0,1
Satellitehub_WDN,1.7,0.8,36.8,0,1
SatelliteHub_BIL1,3.1,0.3,111.1,0.58,0
SatelliteHub_KBA,4.2,0,41.2,0.79,0
SATELLITEHUB_FKRIG,3.6,0.53,69.3,0.57,0
Satellitehub_FKAKP,4.4,0,48.4,0.5,0
Satellitehub_CHM,1.5,0.28,117.4,1,0
Satellitehub_NCRKMG,1.2,0.55,102.9,1,0
Satellitehub_HYD,1.4,0.65,283.6,1,0
Satellitehub_NCR2,1,1,168.2,1,0
Satellitehub_FKHYDU,1.4,0.45,146.5,1,0
Satellitehub_HYDBL,1.5,0.75,139.7,1,0
Satellitehub_HYDM,1.4,0.68,137.7,1,0
Satellitehub_NCR,1.4,0.36,233.8,1,0
Satellitehub_FKGOL,1.4,0.45,148,1,0
Satellitehub_FKHYD1,1.4,0.35,97.4,1,0
Satellitehub_HYDECL,1.5,0.7,89,0.81,0
SATELLITEHUB_GJL,2.8,0,61.6,0,0
